Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
0,0,0,0,2,0,0,0,0,0,0,3,40,0
5,2,0,0,1,0,0,0,4,4,8,1,30,0
5,3,0,0,1,0,0,0,2,2,0,3,35,0
5,3,0,0,1,0,1,1,5,5,0,5,35,0
5,0,0,0,1,0,1,1,2,2,4,1,50,0
5,4,1,0,1,0,1,1,3,3,0,5,35,0
0,10,0,0,1,0,1,1,0,0,0,12,40,0
0,3,0,0,0,0,0,0,11,9,4,1,35,0
3,0,0,2,1,0,0,0,0,0,0,0,30,0
4,2,0,0,2,0,0,0,4,4,12,1,55,0
4,0,0,0,2,0,0,0,2,2,0,3,35,0
5,0,0,0,2,0,1,1,2,2,0,1,40,0
0,3,0,0,1,0,0,0,2,2,0,1,45,0
0,3,0,0,2,0,0,0,3,3,5,1,35,0
3,1,1,2,2,0,1,0,2,2,0,9,55,0
1,3,0,2,0,0,0,0,2,2,0,1,40,0
4,0,1,0,1,0,1,0,2,2,4,3,55,0
5,3,0,0,2,0,0,0,2,2,7,1,30,0
5,0,0,0,1,0,0,0,0,0,8,0,50,0
4,0,0,0,2,0,1,1,2,2,0,1,40,0
4,0,0,0,1,0,0,0,0,0,5,0,40,0
0,3,0,0,1,0,0,0,10,11,8,1,35,0
4,0,0,0,6,0,1,1,2,2,0,3,35,0
0,1,0,0,2,0,1,1,3,3,0,1,25,0
0,2,0,0,2,0,1,0,6,6,0,1,40,0
3,0,0,2,2,0,1,1,2,2,0,2,35,0
1,2,0,0,2,0,0,0,11,9,0,1,40,0
0,3,0,0,1,0,0,0,2,2,0,1,35,0
2,10,0,2,3,1,1,0,1,1,0,1,35,0
2,0,0,2,1,0,1,1,2,2,0,1,35,0
1,0,0,0,2,0,1,1,2,2,0,1,35,0
2,0,0,2,2,1,1,1,2,2,0,1,30,0
0,2,0,0,2,0,0,0,9,10,4,1,45,0
4,0,0,0,2,0,1,0,2,2,0,1,30,0
2,0,0,2,1,0,0,0,0,0,0,0,35,0
0,3,0,0,0,0,1,1,2,2,0,2,30,0
